sid,name,slug,sector,ticker,marketCap,price,change,turnover
SARV,Sarvottam Finvest Ltd,/stocks/sarvottam-finvest-SARV,Investment Banking & Brokerage,SARVOTTAM,Smallcap,19,-7.050000191,47602.75
GEM,Gemstone Investments Ltd,/stocks/gemstone-investments-GEM,Consumer Finance,GEMSI,Smallcap,1.629999995,1.879999995,47554.57031
DIAN,Diana Tea Co Ltd,/stocks/diana-tea-company-DIAN,Tea & Coffee,DIANATEA,Smallcap,26.25,-0.680000007,47508.16016
RAP,RAP Corp Ltd,/stocks/rap-media-RAP,Real Estate,RAP,Smallcap,36.90000153,4.980000019,47467.32031
SRIC,Sri Chakra Cement Ltd,/stocks/sri-chakra-cement-SRIC,Cement,SRICC,Smallcap,41.00999832,-0.239999995,47421.5
GOKA,Gokak Textiles Ltd,/stocks/gokak-textiles-GOKA,Textiles,GOKAKTEX,Smallcap,70.5,0.75999999,47299.32031
DRA,DRA Consultants Ltd,/stocks/dra-consultants-DRA,Business Support Services,DRA,Smallcap,18.80999947,-0.109999999,47025
QUI,Quicktouch Technologies Ltd,/stocks/quicktouch-technologies-QUI,Software Services,QUICKTOUCH,Smallcap,23.14999962,-3.339999914,46820
ABG,Starlog Enterprises Ltd,/stocks/starlog-enterprises-ABG,Construction & Engineering,STARLOG,Smallcap,38,1.00999999,46610.69922
SRIO,Emergent Industrial Solutions Ltd,/stocks/emergent-energy-and-services-SRIO,Commodities Trading,EMERGENT,Smallcap,433.6000061,1.549999952,46512
KKA,Kkalpana Industries (India) Ltd,/stocks/kkalpana-industries-india-KKA,Specialty Chemicals,KKALPANAIND,Smallcap,7.099999905,0.569999993,46490.5
RGR,Retro Green Revolution Ltd,/stocks/retro-green-revolution-RGR,Agricultural & Farm Machinery,RGRL,Smallcap,1.49000001,3.470000029,46360.85156
SPECS,Spectrum Talent Management Ltd,/stocks/spectrum-talent-management-SPECS,Employment Services,SPECTSTM,Smallcap,57.95000076,2.019999981,46360
SIMB,Simbhaoli Sugars Ltd,/stocks/simbhaoli-sugars-SIMB,Sugar,SIMBHALS,Smallcap,6.920000076,2.369999886,45859.66016
CONST,Constronics Infra Ltd,/stocks/invicta-meditek-CONST,Construction & Engineering,CONSTRONIC,Smallcap,48.5,0.939999998,45689.01172
MINAL,Minal Industries Ltd,/stocks/minal-industries-MINAL,"Precious Metals, Jewellery & Watches",MINALIND,Smallcap,2.440000057,0.409999996,45382.26172
NEO,Neo Infracon Ltd,/stocks/neo-infracon-NEO,Real Estate,NEOINFRA,Smallcap,44.95000076,4.559999943,45119.01953
JAY,Jayshree Chemicals Ltd,/stocks/jayshree-chemicals-JAY,Commodity Chemicals,JAYCH,Smallcap,6.090000153,0.660000026,44954.80078
ATV,SVC Industries Ltd,/stocks/svc-industries-ATV,Commodity Chemicals,SVCIND,Smallcap,2.289999962,1.330000043,44927.67969
INT,Caspian Corporate Services Ltd,/stocks/intellivate-capital-advisors-INT,Business Support Services,CASPIAN,Smallcap,35.79999924,1.789999962,44912.28125
BAN,Banas Finance Ltd,/stocks/banas-finance-BAN,Specialized Finance,BANASFN,Smallcap,7.079999924,1,44837.76172
SECM,SecMark Consultancy Ltd,/stocks/secmark-consultancy-SECM,IT Services & Consulting,SECMARK,Smallcap,123.9400024,1.230000019,44774.82813
VIRAT,Virat Crane Industries Ltd,/stocks/virat-crane-industries-VIRAT,Agro Products,VIRATCRA,Smallcap,38,-2.539999962,44584.42969
BERV,Bervin Investment and Leasing Ltd,/stocks/bervin-investments-and-leasing-BERV,Diversified Financials,BERVINL,Smallcap,47.59999847,4.960000038,44281.12109
SHRES,Shree Securities Ltd,/stocks/shree-securities-SHRES,Diversified Financials,SHREESEC,Smallcap,0.209999993,-4.550000191,44147.67188
VIKRA,Vikram Aroma Ltd,/stocks/vikram-aroma-VIKRA,Specialty Chemicals,VIKRAMAR,Smallcap,70,0.140000001,43695.5
SAMK,Samkrg Pistons and Rings Ltd,/stocks/samkrg-pistons-and-rings-SAMK,Auto Parts,SAMKRG,Smallcap,120.3499985,-0.119999997,43647.23828
VLIN,VL Infraprojects Ltd,/stocks/vlinfraprojects-VLIN,Water Management,VLINFRA,Smallcap,28.85000038,,43275
FER,Fervent Synergies Ltd,/stocks/fervent-synergies-FER,Conglomerates,FERVENTSYN,Smallcap,15.47000027,2.519999981,43200
