Template URL,HTTP Method,Provider / Domain,Code Sources / References,Target Database Table,Writing Script / Service Handler,Data Domain Category,Source Files,Status,Concrete Working URL
https://api.moneycontrol.com/mcapi/technicalpicks/chart-patterns?deviceType=W&version=174&start=0&limit=12&pattern_type=all&sc_id=${scId},GET,MoneyControl,mcApiService.ts:671,,,,urls_directory.csv,SUCCESS,https://api.moneycontrol.com/mcapi/technicalpicks/chart-patterns?deviceType=W&version=174&start=0&limit=12&pattern_type=all&sc_id=IT
https://api.moneycontrol.com/mcapi/technicals/v2/details?scId=${scId}&dur=${dur}&deviceType=W,GET,MoneyControl,mcApiService.ts:604,,,,urls_directory.csv,SUCCESS,https://api.moneycontrol.com/mcapi/technicals/v2/details?scId=BE03&dur=D&deviceType=W
https://api.moneycontrol.com/mcapi/technicals/v2/details?scId={sc_id}&dur={dur}&deviceType=W,GET,MoneyControl,explore_mc_tl.py:366,,,,urls_directory.csv,SUCCESS,https://api.moneycontrol.com/mcapi/technicals/v2/details?scId=BE03&dur=D&deviceType=W
https://api.moneycontrol.com/mcapi/v1/deals/get-stock-news,GET,MoneyControl,explore_mc_tl.py:472,,,,urls_directory.csv,SUCCESS,https://api.moneycontrol.com/mcapi/v1/deals/get-stock-news
https://api.moneycontrol.com/mcapi/v1/deals/insight?start=0&limit=${limit}&value=value&range=1W&action=${action}&dealsType=${dealsType},GET,MoneyControl,marketIntelService.ts:128,,,,urls_directory.csv,SUCCESS,https://api.moneycontrol.com/mcapi/v1/deals/insight?start=0&limit=3&value=value&range=1W&action=buy
https://api.moneycontrol.com/mcapi/v1/deals/insight?start=0&limit=3&value=value&range=1W&action={action},GET,MoneyControl,explore_mc_tl.py:477,,,,urls_directory.csv,SUCCESS,https://api.moneycontrol.com/mcapi/v1/deals/insight?start=0&limit=3&value=value&range=1W&action=buy
https://api.moneycontrol.com/mcapi/v1/deals/insight?start=0&limit=9&value=value&range=1W&action={action}&dealsType=topDeal,GET,MoneyControl,explore_mc_tl.py:475,,,,urls_directory.csv,SUCCESS,https://api.moneycontrol.com/mcapi/v1/deals/insight?start=0&limit=3&value=value&range=1W&action=buy
https://api.moneycontrol.com/mcapi/v1/deals/insight?start=0&limit=9&value=value&range=1W&action={action}&dealsType=topInsider,GET,MoneyControl,explore_mc_tl.py:479,,,,urls_directory.csv,SUCCESS,https://api.moneycontrol.com/mcapi/v1/deals/insight?start=0&limit=3&value=value&range=1W&action=buy
https://api.moneycontrol.com/mcapi/v1/deals/insight?start=0&limit=9&value=value&range=1W&action={action}&dealsType=topInvestor,GET,MoneyControl,explore_mc_tl.py:481,,,,urls_directory.csv,SUCCESS,https://api.moneycontrol.com/mcapi/v1/deals/insight?start=0&limit=3&value=value&range=1W&action=buy
https://api.moneycontrol.com/mcapi/v1/deals/largedeals-insight?start=0&limit=3&orderBy=dealsValue&deviceType=W,GET,MoneyControl,explore_mc_tl.py:470,,,,urls_directory.csv,SUCCESS,https://api.moneycontrol.com/mcapi/v1/deals/largedeals-insight?start=0&limit=3&orderBy=dealsValue&deviceType=W
https://api.moneycontrol.com/mcapi/v1/deals/largedeals-insight?start=0&limit=6&orderBy=dealsValue&deviceType=W,GET,MoneyControl,marketIntelService.ts:134,,,,urls_directory.csv,SUCCESS,https://api.moneycontrol.com/mcapi/v1/deals/largedeals-insight?start=0&limit=3&orderBy=dealsValue&deviceType=W
