name,tlid,symbol,tlname
SIGNORIA,2119170,SIGNORIA,signoria-creation-ltd
TAPARIA,2237,TAPARIA,taparia-tools-ltd
PROGRESV,3524,PROGRESV,progrex-ventures-ltd
SAMTELTD,2079,SAMTELTD,samtel-india-ltd
KELENRG,2288,KELENRG,keltech-energies-ltd
PIONAGR,2814,PIONAGR,pioneer-agro-extracts-ltd
AVIPHOT,2993,AVIPHOT,avi-products-india-ltd
BRIPORT,4277,BRIPORT,brilliant-portfolios-ltd
PPL,148189,PPL,prakash-pipes-ltd
APEXECO,2803150,APEXECO,apex-ecotech-ltd
PGINDST,3533,PGINDST,marble-city-india-ltd
11290577,456782,11290577,jetmall-spices-and-masala-ltd
IYKOTHITE,2897,IYKOTHITE,iykot-hitech-toolroom-ltd
BBETF0432,748067,BBETF0432,edelweiss-bharat-bond-etf-april-2032
13193325,3367524,13193325,nanta-tech-ltd
INDSWFTLAB,621,INDSWFTLAB,ind-swift-laboratories-ltd
STOVEKRAFT,409322,STOVEKRAFT,stove-kraft-ltd
DIVYADHAN,2663456,DIVYADHAN,divyadhan-recycling-industries-ltd
INCON,3635,INCON,incon-engineers-ltd
RLFL,4055,RLFL,ramchandra-leasing-and-finance-ltd
VIPULLTD,1489,VIPULLTD,vipul-ltd
RAJRILTD,1097,RAJRILTD,raj-rayon-industries-ltd
SETL,2898836,SETL,standard-engineering-technology-ltd
16070372,1719925,16070372,vivaa-tradecom-ltd
INNOMET,2618331,INNOMET,innomet-advanced-materials-ltd
PANAFIC,4119,PANAFIC,panafic-industrials-ltd
SUPREMEENG,107255,SUPREMEENG,supreme-engineering-ltd
CAPRICORN,2541,CAPRICORN,capricorn-systems-global-solutions-ltd
DUKEOFS,3596,DUKEOFS,duke-offshore-ltd
RRKABEL,1681351,RRKABEL,r-r-kabel-ltd
SSFL,1550244,SSFL,srivari-spices-and-foods-ltd
DIFFNKG,2674303,DIFFNKG,diffusion-engineers-ltd
RIIT,3448665,RIIT,raajmarg-infra-investment-trust
AURUM,1762,AURUM,aurum-proptech-ltd
13192829,438982,13192829,adjia-technologies-ltd
SAAKSHI,1706792,SAAKSHI,saakshi-medtech-panels-ltd
MTEDUCARE,887,MTEDUCARE,mt-educare-ltd
BOROSCI,2330143,BOROSCI,borosil-scientific-ltd
INVPRECQ,2195,INVPRECQ,investment-precision-castings-ltd
CCAVENUE,1998,CCAVENUE,avenuesai-ltd
KREONFIN,3265,KREONFIN,kreon-finnancial-services-ltd
COLINZ,3500,COLINZ,colinz-laboratories-ltd
NINSYS,4369,NINSYS,nintec-systems-ltd
MONOLITH,3131699,MONOLITH,monolithisch-india-ltd
SMFIL,2628,SMFIL,smiths-founders-india-ltd
INDTONER,2958,INDTONER,indian-toners-developers-ltd
11625830,3265151,11625830,telge-projects-ltd
GJL,3416578,GJL,grover-jewells-ltd
GYTRIPA,2585,GYTRIPA,virya-resources-ltd
544166,2206008,544166,emmforce-autotech-ltd
MINFY,4258,MINFY,mahaveer-infoway-ltd
OMANSH,61511,OMANSH,pipan-oils-ltd
SOFTBPO,2180,SOFTBPO,idream-film-infrastructure-company-ltd
RIBATEX,3748,RIBATEX,riba-textiles-ltd
17160453,2486163,17160453,afcom-holdings-ltd
PIXTRANS,2072,PIXTRANS,pix-transmissions-ltd
SKMEGGPROD,1253,SKMEGGPROD,skm-egg-products-export-india-ltd
PALREDTEC,1781,PALREDTEC,palred-technologies-ltd
ONTIC,83112,ONTIC,ontic-finserve-ltd
TIRUPATIFL,87804,TIRUPATIFL,tirupati-forge-ltd
SHIVAUM,165687,SHIVAUM,shiv-aum-steels-ltd
ZSANMCOM,2524,ZSANMCOM,tandhan-industries-ltd
GEETANJ,4287,GEETANJ,geetanjali-credit-and-capital-ltd
SAKSOFT,1167,SAKSOFT,saksoft-ltd
RBA,357598,RBA,restaurant-brands-asia-ltd
PRADPME,2643,PRADPME,pradeep-metals-ltd
SHRIAHIMSA,3036052,SHRIAHIMSA,shri-ahimsa-naturals-ltd
TEAMTECH,3512726,TEAMTECH,teamtech-formwork-solutions-ltd
EXCELLENT,2597185,EXCELLENT,excellent-wires-packaging-ltd
ASTRAMICRO,123,ASTRAMICRO,astra-microwave-products-ltd
LTGILTCASE,3227841,LTGILTCASE,zerodha-nifty-8-13-yr-g-sec-etf
EBBETF0430,204264,EBBETF0430,edelweiss-bharat-bond-etf-april-2030
KANORICHEM,717,KANORICHEM,kanoria-chemicals-industries-ltd
CARNATIN,3358,CARNATIN,carnation-industries-ltd
SKFINDUS,3353111,SKFINDUS,skf-india-industrial-ltd
13110372,3520088,13110372,merritronix-ltd
TALBROAUTO,1347,TALBROAUTO,talbros-automotive-components-ltd
DHARFIN,2452,DHARFIN,dharani-finance-ltd
13150400,3388488,13150400,indo-smc-ltd
KRISHNACAP,4259,KRISHNACAP,krishna-capital-securities-ltd
PRIMECAPM,3962,PRIMECAPM,prime-capital-market-ltd
13560270,3183864,13560270,swastika-castal-ltd
GOLDTECH,485,GOLDTECH,aion-tech-solutions-ltd
ANANDRATHI,747241,ANANDRATHI,anand-rathi-wealth-ltd
VANDANA,3786,VANDANA,atvo-enterprises-ltd
SHARIKA,82642,SHARIKA,sharika-enterprises-ltd
STERSPN,3647,STERSPN,tejassvi-aaharam-ltd
RELAXO,1125,RELAXO,relaxo-footwears-ltd
13192882,644312,13192882,naapbooks-ltd
BLISSGVS,204,BLISSGVS,bliss-gvs-pharma-ltd
DAIKAFFI,3401,DAIKAFFI,daikaffil-chemicals-india-ltd
KMCSHIL,3037,KMCSHIL,kmc-speciality-hospitals-india-ltd
MANCREDIT,2253,MANCREDIT,mangal-credit-and-fincorp-ltd
EBBETF0433,1191837,EBBETF0433,edelweiss-bharat-bond-etf-april-2033
AVL,52912,AVL,aditya-vision-ltd
GRATEXI,3191,GRATEXI,gratex-industries-ltd
VADILALIND,1462,VADILALIND,vadilal-industries-ltd
UCAL,1438,UCAL,ucal-ltd
ORIENTHOT,986,ORIENTHOT,oriental-hotels-ltd
BGIL,2483,BGIL,bgil-films-technologies-ltd
VISCO,82588,VISCO,gamco-ltd
NRL,750562,NRL,nupur-recyclers-ltd
BIKEWO,2640250,BIKEWO,bikewo-green-tech-ltd
14095540,1305967,14095540,dharni-capital-services-ltd
LAL,82961,LAL,lorenzini-apparels-ltd
PATINTLOG,1011,PATINTLOG,patel-integrated-logistics-ltd
TRANSCHEM,2084,TRANSCHEM,transchem-ltd
JASCHIND,2051,JASCHIND,jasch-industries-ltd
CORALAB,3033,CORALAB,coral-laboratories-ltd
ACSTECH,3382,ACSTECH,acs-technologies-ltd
EBBETF0431,382146,EBBETF0431,edelweiss-bharat-bond-etf-april-2031
WIPL,87884,WIPL,the-western-india-plywood-ltd
LIKHITHA,303126,LIKHITHA,likhitha-infrastructure-ltd
11625740,2446670,11625740,vvip-infratech-ltd
NAMOEWASTE,2597187,NAMOEWASTE,namo-ewaste-management-ltd
MNPLFIN,2350,MNPLFIN,manipal-finance-corporation-ltd
GULFOILLUB,518,GULFOILLUB,gulf-oil-lubricants-india-ltd
BETA,83050,BETA,beta-drugs-ltd
CAPLIPOINT,237,CAPLIPOINT,caplin-point-laboratories-ltd
KAPILCO,4721,KAPILCO,skybiotech-healthcare-ltd
GNRL,2645,GNRL,gujarat-natural-resources-ltd
RFBL,3506241,RFBL,rfbl-flexi-pack-ltd
MIDEASTP,3117,MIDEASTP,mideast-portfolio-management-ltd
BCLENTERPR,4327,BCLENTERPR,bcl-enterprises-ltd
ONELIFECAP,973,ONELIFECAP,onelife-capital-advisors-ltd
ONMOBILE,975,ONMOBILE,onmobile-global-ltd
12310683,2985703,12310683,beezaasan-explotech-ltd
ARMSPAPER,3836,ARMSPAPER,konndor-industries-ltd
NXST,1452281,NXST,nexus-select-trust-reit
MAXHEALTH,276825,MAXHEALTH,max-healthcare-institute-ltd
HITECHGEAR,564,HITECHGEAR,the-hi-tech-gears-ltd
EVERESTIND,399,EVERESTIND,everest-industries-ltd
VSCL,87739,VSCL,vadivarhe-speciality-chemicals-ltd
AIAENG,46,AIAENG,aia-engineering-ltd
ELPROINTL,2160,ELPROINTL,elpro-international-ltd
13521265,3318396,13521265,shining-tools-ltd
SANTOSHF,3241,SANTOSHF,santosh-fine-fab-ltd
SRDAPRT,4454,SRDAPRT,sarda-proteins-ltd
SIVI,4015,SIVI,laxmipati-engineering-works-ltd
DWEKAM,61526,DWEKAM,danube-industries-ltd
BFFL,4187,BFFL,grameva-ltd
EBGNG,3187136,EBGNG,gng-electronics-ltd
GOKEX,480,GOKEX,gokaldas-exports-ltd
SIGMAADV,854,SIGMAADV,sigma-advanced-systems-ltd
ANG,71319,ANG,ang-lifesciences-india-ltd
VENUSPIPES,877861,VENUSPIPES,venus-pipes-tubes-ltd
ACUTAAS,644637,ACUTAAS,acutaas-chemicals-ltd
12270250,1532583,12270250,kaka-industries-ltd
STYL,3265793,STYL,seshaasai-technologies-ltd
HEALTHCARE,3431222,HEALTHCARE,mirae-asset-nifty-500-healthcare-etf
PIDILITIND,1037,PIDILITIND,pidilite-industries-ltd
14090390,179983,14090390,easun-capital-markets-ltd
VENUSREM,1474,VENUSREM,venus-remedies-ltd
AEROENTER,2424,AEROENTER,aeroflex-enterprises-ltd
MADHUSUDAN,1690559,MADHUSUDAN,madhusudan-masala-ltd
HYPERSOFT,4346,HYPERSOFT,hypersoft-technologies-ltd
AETHER,903803,AETHER,aether-industries-ltd
HONASA,1769048,HONASA,honasa-consumer-ltd
CPPLUS,3195212,CPPLUS,aditya-infotech-ltd
BLUEWATER,3107150,BLUEWATER,blue-water-logistics-ltd
KIRLOSENG,745,KIRLOSENG,kirloskar-oil-engines-ltd
FLEXFO,2966,FLEXFO,flex-foods-ltd
STARHEALTH,746520,STARHEALTH,star-health-and-allied-insurance-company-ltd
DRREDDY,346,DRREDDY,dr-reddy-s-laboratories-ltd
LTGILTBEES,25722,LTGILTBEES,nippon-india-etf-nifty-8-13-yr-g-sec-long-term-gilt
ACIIN,2758,ACIIN,aci-infocom-ltd
GILT5YBEES,496673,GILT5YBEES,nippon-india-etf-nifty-5-yr-benchmark-gsec
ACMESOLAR,2759890,ACMESOLAR,acme-solar-holdings-ltd
CINEVISTA,267,CINEVISTA,cinevista-ltd
BAHETI,1160011,BAHETI,baheti-recycling-industries-ltd
AMAGI,3390023,AMAGI,amagi-media-labs-ltd
SUNDRMFAST,1313,SUNDRMFAST,sundram-fasteners-ltd
ALANSCOTT,4183,ALANSCOTT,alan-scott-enterprises-ltd
NUVAMA,1715909,NUVAMA,nuvama-wealth-management-ltd
519064,83277,519064,khandelwal-extractions-ltd
RADICO,1090,RADICO,radico-khaitan-ltd
SHGOVTR,3659,SHGOVTR,rr-metalmakers-india-ltd
SETF10GILT,25664,SETF10GILT,sbi-etf-10-year-gilt
RPTECH,1992194,RPTECH,rashi-peripherals-ltd
DHENUBUILD,2113,DHENUBUILD,dhenu-buildcon-infra-ltd
HEALTHADD,2016346,HEALTHADD,dsp-nifty-healthcare-etf
EMAINDIA,2878,EMAINDIA,ema-india-ltd
13193017,1417311,13193017,sancode-technologies-ltd
PREMIUM,2725570,PREMIUM,premium-plast-ltd
13521267,3248611,13521267,l-t-elevator-ltd
17160419,1840440,17160419,sahara-maritime-ltd
HITECHCORP,565,HITECHCORP,hitech-corporation-ltd
BHARATFORG,184,BHARATFORG,bharat-forge-ltd
ICVLSTEELS,3941,ICVLSTEELS,aerpace-industries-ltd
AMRAFIN,4234,AMRAFIN,amrapali-fincap-ltd
TANFACIND,1349,TANFACIND,tanfac-industries-ltd
ASPIRA,83029,ASPIRA,aspira-pathlab-diagnostics-ltd
SUBSM,3287,SUBSM,subhash-silk-mills-ltd
ICIL,585,ICIL,indo-count-industries-ltd
THANGAMAYL,1384,THANGAMAYL,thangamayil-jewellery-ltd
CRANEX,2872,CRANEX,cranex-ltd
RRFIN,2477,RRFIN,rr-financial-consultants-ltd
SPICEISL,3202,SPICEISL,spice-islands-industries-ltd
HDBFS,3147463,HDBFS,hdb-financial-services-ltd
RUBICON,3283430,RUBICON,rubicon-research-ltd
INDUSFINL,3712,INDUSFINL,indus-finance-ltd
540062,83528,540062,golden-crest-education-services-ltd
VINSYS,1565402,VINSYS,vinsys-it-services-india-ltd
MAHABANK,815,MAHABANK,bank-of-maharashtra
PATELENG,1010,PATELENG,patel-engineering-ltd
QUADFUTURE,2897925,QUADFUTURE,quadrant-future-tek-ltd
HEALTHIETF,559910,HEALTHIETF,icici-prudential-nifty-healthcare-etf
CARTRADE,621767,CARTRADE,cartrade-tech-ltd
SHRIPISTON,87722,SHRIPISTON,spr-auto-technologies-ltd
YUG,61533,YUG,yug-decor-ltd
AMALGAMATED,82501,AMALGAMATED,amalgamated-electricity-company-ltd
SUMEETINDS,1307,SUMEETINDS,sumeet-industries-ltd
INNOVACAP,1842149,INNOVACAP,innova-captab-ltd
UNIHEALTH,1671909,UNIHEALTH,unihealth-hospitals-ltd
YASHO,87885,YASHO,yasho-industries-ltd
HOACFOODS,2273364,HOACFOODS,hoac-foods-india-ltd
OMFREIGHT,3272272,OMFREIGHT,om-freight-forwarders-ltd
SUPRAP,52905,SUPRAP,supra-pacific-financial-services-ltd
TASTYBITE,2792,TASTYBITE,tasty-bite-eatables-ltd
KRISHNA,2184,KRISHNA,krishna-ventures-ltd
ARVIND,105,ARVIND,arvind-ltd
16691920,3146164,16691920,icon-facilitators-ltd
SRMENERGY,2929,SRMENERGY,srm-energy-ltd
TAMBOLIIN,3901,TAMBOLIIN,tamboli-industries-ltd
17160478,3192332,17160478,shree-refrigerations-ltd
ASHOKRE,3235,ASHOKRE,ashoka-refineries-ltd
UNIABEXAL,2187,UNIABEXAL,uni-abex-alloy-products-ltd
HEALTHY,686926,HEALTHY,aditya-birla-sun-life-nifty-healthcare-etf
17154247,555691,17154247,times-green-energy-india-ltd
PVTBANKADD,1592864,PVTBANKADD,dsp-nifty-private-bank-etf
DENTA,2934615,DENTA,denta-water-and-infra-solutions-ltd
MACPOWER,87782,MACPOWER,macpower-cnc-machines-ltd
FRONTCAP,2381,FRONTCAP,frontier-capital-ltd
REFEX,1121,REFEX,refex-industries-ltd
PHARMAID,3043,PHARMAID,pharmaids-pharmaceuticals-ltd
UHTL,2728197,UHTL,united-heat-transfer-ltd
VCKCAP,2454,VCKCAP,shrydus-industries-ltd
AIML,3922,AIML,alliance-integrated-metaliks-ltd
SANCHAY,83081,SANCHAY,sanchay-finvest-ltd
PATELSAI,2767,PATELSAI,patels-airtemp-india-ltd
BAFNAPH,142,BAFNAPH,bafna-pharmaceuticals-ltd
SWSOLAR,155630,SWSOLAR,sterling-and-wilson-renewable-energy-ltd
TATACAP,3279131,TATACAP,tata-capital-ltd
CHPLIND,4250,CHPLIND,callista-industries-ltd
OFSS,964,OFSS,oracle-financial-services-software-ltd
RSCINT,3278,RSCINT,rsc-international-ltd
ECOM,3614,ECOM,accedere-ltd
TRENT,1412,TRENT,trent-ltd
KSB,768,KSB,ksb-ltd
PAISALO,1199,PAISALO,paisalo-digital-ltd
EFFWA,2401653,EFFWA,effwa-infra-research-ltd
WABAG,1507,WABAG,va-tech-wabag-ltd
531997,83580,531997,ikoma-technologies-ltd
RELIGARE,1128,RELIGARE,religare-enterprises-ltd
TVSINVIT,3171347,TVSINVIT,tvs-infrastructure-trust
HAWKINCOOK,2364,HAWKINCOOK,hawkins-cookers-ltd
GEE,2161,GEE,gee-ltd
JAYBARMARU,662,JAYBARMARU,jay-bharat-maruti-ltd
MORGANITE,2924,MORGANITE,foseco-crucible-india-ltd
PGIL,1033,PGIL,pearl-global-industries-ltd
RAMAPETRO,2075,RAMAPETRO,rama-petrochemicals-ltd
SFL,4957,SFL,sheela-foam-ltd
SHRENIK,87873,SHRENIK,shrenik-ltd
MINDACORP,863,MINDACORP,minda-corporation-ltd
ANUP,130216,ANUP,the-anup-engineering-ltd
SAREGAMA,1185,SAREGAMA,saregama-india-ltd
SLSTLQ,2857,SLSTLQ,sri-lakshmi-saraswathi-textiles-arni-ltd
HONAUT,569,HONAUT,honeywell-automation-india-ltd
WELCORP,1514,WELCORP,welspun-corp-ltd
ICICIBANK,584,ICICIBANK,icici-bank-ltd
PREMIERPOL,1069,PREMIERPOL,premier-polyfilm-ltd
13110362,3463251,13110362,highness-microelectronics-ltd
KAJARIACER,709,KAJARIACER,kajaria-ceramics-ltd
SIPAPER,2738,SIPAPER,south-india-paper-mills-ltd
LAURUSLABS,4984,LAURUSLABS,laurus-labs-ltd
INDNIPPON,613,INDNIPPON,india-nippon-electricals-ltd
INDIGO,1784,INDIGO,interglobe-aviation-ltd
SHRIDINESH,2154,SHRIDINESH,shri-dinesh-mills-ltd
GROWWHOSPI,3449543,GROWWHOSPI,groww-bse-hospitals-etf
INDOTECH,617,INDOTECH,indo-tech-transformers-ltd
