URL,HTTP Method,Provider / Domain,Code Sources / References
https://api.moneycontrol.com/mcapi/v1/${type}/scanner-detail?catId=${catId}&scanId=${scanId},GET,MoneyControl,moneycontrol.ts:40
https://api.moneycontrol.com/mcapi/v1/deals/get-stock-news,GET,MoneyControl,explore_mc_tl.py:472
https://api.moneycontrol.com/mcapi/v1/deals/insight?start=0&limit=${limit}&value=value&range=1W&action=${action}&dealsType=${dealsType},GET,MoneyControl,marketIntelService.ts:128
https://api.moneycontrol.com/mcapi/v1/deals/insight?start=0&limit=3&value=value&range=1W&action={action},GET,MoneyControl,explore_mc_tl.py:477
https://api.moneycontrol.com/mcapi/v1/deals/insight?start=0&limit=9&value=value&range=1W&action={action}&dealsType=topDeal,GET,MoneyControl,explore_mc_tl.py:475
https://api.moneycontrol.com/mcapi/v1/deals/insight?start=0&limit=9&value=value&range=1W&action={action}&dealsType=topInsider,GET,MoneyControl,explore_mc_tl.py:479
https://api.moneycontrol.com/mcapi/v1/deals/insight?start=0&limit=9&value=value&range=1W&action={action}&dealsType=topInvestor,GET,MoneyControl,explore_mc_tl.py:481
https://api.moneycontrol.com/mcapi/v1/deals/largedeals-insight?start=0&limit=3&orderBy=dealsValue&deviceType=W,GET,MoneyControl,explore_mc_tl.py:470
https://api.moneycontrol.com/mcapi/v1/deals/largedeals-insight?start=0&limit=6&orderBy=dealsValue&deviceType=W,GET,MoneyControl,marketIntelService.ts:134
https://api.moneycontrol.com/mcapi/v1/deals/list?start=0&limit=${limit}&orderBy=${orderBy}&sortBy=DESC&dealType=${dealType}&deviceType=W&apiVersion=177,GET,MoneyControl,marketIntelService.ts:118
https://api.moneycontrol.com/mcapi/v1/deals/list?start=0&limit=${limit}&orderBy=deal_date&sortBy=DESC&deviceType=W,GET,MoneyControl,marketIntelService.ts:113
https://api.moneycontrol.com/mcapi/v1/deals/list?start=0&limit=24&orderBy=deal_date&sortBy=DESC&dealType=large&deviceType=W&apiVersion=177,GET,MoneyControl,explore_mc_tl.py:462
https://api.moneycontrol.com/mcapi/v1/deals/list?start=0&limit=24&orderBy=deal_date&sortBy=DESC&deviceType=W,GET,MoneyControl,explore_mc_tl.py:468
https://api.moneycontrol.com/mcapi/v1/deals/list?start=0&limit=24&orderBy=dealsValue&sortBy=DESC&dealType=topStock&deviceType=W&apiVersion=177,GET,MoneyControl,explore_mc_tl.py:464
https://api.moneycontrol.com/mcapi/v1/deals/list?start=0&limit=24&orderBy=dealsValue&sortBy=DESC&dealType=topStockSectorWise&deviceType=W&apiVersion=177,GET,MoneyControl,explore_mc_tl.py:466
https://api.moneycontrol.com/mcapi/v1/earnings/actual-estimate?page=1&limit=${limit},GET,MoneyControl,marketIntelService.ts:324
https://api.moneycontrol.com/mcapi/v1/earnings/actual-estimate?page=1&limit=6,GET,MoneyControl,explore_mc_tl.py:489
https://api.moneycontrol.com/mcapi/v1/earnings/get-earnings-data?indexId=All&page=1&startDate=${d}&endDate=${d}&sector=&limit=${limit},GET,MoneyControl,marketIntelService.ts:301
https://api.moneycontrol.com/mcapi/v1/earnings/get-earnings-data?indexId=All&page=1&startDate={today}&endDate={today}&sector=&limit=18,GET,MoneyControl,explore_mc_tl.py:497
https://api.moneycontrol.com/mcapi/v1/earnings/inc-widget?indexId=all,GET,MoneyControl,explore_mc_tl.py:485
https://api.moneycontrol.com/mcapi/v1/earnings/price-shockers?limit=${limit}&page=1,GET,MoneyControl,marketIntelService.ts:318
https://api.moneycontrol.com/mcapi/v1/earnings/price-shockers?limit=8&page=1,GET,MoneyControl,explore_mc_tl.py:487
https://api.moneycontrol.com/mcapi/v1/earnings/rapid-results?limit=21&page=1&type=BP&subType=yoy&category=all&sortBy=growth&indexId=N&sector=&search=&seq=desc,GET,MoneyControl,"explore_mc_tl.py:493, marketIntelService.ts:312"
https://api.moneycontrol.com/mcapi/v1/earnings/rapid-results?limit=9&page=1&type=LR&subType=yoy,GET,MoneyControl,"explore_mc_tl.py:491, marketIntelService.ts:308"
https://api.moneycontrol.com/mcapi/v1/earnings/result-calendar?indexId=All&fromDate={today}&toDate={today}&sector=,GET,MoneyControl,explore_mc_tl.py:495
https://api.moneycontrol.com/mcapi/v1/earnings/result-dashboard,GET,MoneyControl,"explore_mc_tl.py:499, marketIntelService.ts:277"
https://api.moneycontrol.com/mcapi/v1/ecalendar/get-upcoming-event-data?page=1&pageSize=7,GET,MoneyControl,"explore_mc_tl.py:508, marketIntelService.ts:20"
https://api.moneycontrol.com/mcapi/v1/extdata/mc-essentials?scId=${scId}&type=all,GET,MoneyControl,mcApiService.ts:402
https://api.moneycontrol.com/mcapi/v1/extdata/mc-essentials?scId=${scId}&type=ed,GET,MoneyControl,mcApiService.ts:394
https://api.moneycontrol.com/mcapi/v1/extdata/mc-essentials?scId={sc_id}&type=all,GET,MoneyControl,explore_mc_tl.py:385
https://api.moneycontrol.com/mcapi/v1/extdata/mc-essentials?scId={sc_id}&type=ed,GET,MoneyControl,explore_mc_tl.py:386
https://api.moneycontrol.com/mcapi/v1/extdata/mc-insights?scId=${scId}&type=c,GET,MoneyControl,mcApiService.ts:458
https://api.moneycontrol.com/mcapi/v1/extdata/mc-insights?scId=${scId}&type=d,GET,MoneyControl,mcApiService.ts:482
https://api.moneycontrol.com/mcapi/v1/extdata/mc-insights?scId={sc_id}&type=c,GET,MoneyControl,explore_mc_tl.py:388
https://api.moneycontrol.com/mcapi/v1/extdata/mc-insights?scId={sc_id}&type=d,GET,MoneyControl,explore_mc_tl.py:387
https://api.moneycontrol.com/mcapi/v1/fno/futures/getExpDts?id=${scId},GET,MoneyControl,marketIntelService.ts:438
https://api.moneycontrol.com/mcapi/v1/fno/futures/getExpDts?id={sc_id},GET,MoneyControl,explore_mc_tl.py:414
https://api.moneycontrol.com/mcapi/v1/fno/futures/getFuturesData?fut=FUTSTK&id=${scId}&expirydate=${expiry},GET,MoneyControl,marketIntelService.ts:444
https://api.moneycontrol.com/mcapi/v1/fno/futures/getFuturesData?fut=FUTSTK&id={sc_id}&expirydate={expiry},GET,MoneyControl,explore_mc_tl.py:416
https://api.moneycontrol.com/mcapi/v1/fno/options/getOptionsData?opt=OPTSTK&id={sc_id}&expirydate={expiry}&optiontype=CE&strikeprice=405.00,GET,MoneyControl,explore_mc_tl.py:420
https://api.moneycontrol.com/mcapi/v1/fno/options/getStrikePrice?id={sc_id}&expirydate={expiry}&optiontype=CE,GET,MoneyControl,explore_mc_tl.py:418
https://api.moneycontrol.com/mcapi/v1/indices/chart/exchange-advdec?ex=${ex},GET,MoneyControl,indexApiService.ts:89
https://api.moneycontrol.com/mcapi/v1/indices/chart/exchange-advdec?ex=N,GET,MoneyControl,"explore_mc_tl.py:233, marketIntelService.ts:489"
https://api.moneycontrol.com/mcapi/v1/indices/fundamentals/epsdetail?indId={ind_id},GET,MoneyControl,explore_mc_tl.py:279
https://api.moneycontrol.com/mcapi/v1/indices/fundamentals/graph/pb?indId=${indId}&duration=${duration},GET,MoneyControl,indexApiService.ts:110
https://api.moneycontrol.com/mcapi/v1/indices/fundamentals/graph/pb?indId={ind_id}&duration=1Y,GET,MoneyControl,explore_mc_tl.py:285
https://api.moneycontrol.com/mcapi/v1/indices/fundamentals/graph/pe?indId=${indId}&duration=${duration},GET,MoneyControl,indexApiService.ts:99
https://api.moneycontrol.com/mcapi/v1/indices/fundamentals/graph/pe?indId={ind_id}&duration=1Y,GET,MoneyControl,explore_mc_tl.py:282
https://api.moneycontrol.com/mcapi/v1/indices/fundamentals/overview?indId=${indId},GET,MoneyControl,indexApiService.ts:61
https://api.moneycontrol.com/mcapi/v1/indices/fundamentals/overview?indId={ind_id},GET,MoneyControl,explore_mc_tl.py:276
https://api.moneycontrol.com/mcapi/v1/indices/get-global-indices,GET,MoneyControl,marketData.ts:176
