iter	Logloss
0	0.6815678734
1	0.6708885548
2	0.6615588041
3	0.652521024
4	0.6442741843
5	0.6371256126
6	0.6303906624
7	0.6242780581
8	0.618522719
9	0.613139906
10	0.6082539244
11	0.6035851196
12	0.5994982465
13	0.5952536313
14	0.5915596042
15	0.5879596495
16	0.5846726108
17	0.5813521543
18	0.5779214513
19	0.5745697205
20	0.5717723754
21	0.5689428623
22	0.5658890709
23	0.56340166
24	0.5609372691
25	0.5585177624
26	0.5561418805
27	0.5535716406
28	0.5511656549
29	0.5490706322
30	0.546936674
31	0.5450920365
32	0.5429477348
33	0.5410858517
34	0.5393345067
35	0.5372342345
36	0.5353170154
37	0.5336382636
38	0.5319458411
39	0.5303347533
40	0.5286718422
41	0.5272159879
42	0.5256343082
43	0.5240742454
44	0.5223691703
45	0.5207812944
46	0.5194450194
47	0.5180141351
48	0.5166990658
49	0.5152422892
50	0.5140243414
51	0.5127002127
52	0.5113717295
53	0.5097123227
54	0.5084131163
55	0.5071878644
56	0.5058473354
57	0.5044915568
58	0.5031450807
59	0.5020749927
60	0.5007244409
61	0.4995371
62	0.4984944917
63	0.4972380239
64	0.4962737315
65	0.4952212067
66	0.4940277371
67	0.4932632326
68	0.4921515633
69	0.491413978
70	0.4903977013
71	0.4892276683
72	0.4883400056
73	0.487333737
74	0.4864036988
75	0.4855047736
76	0.4844499143
77	0.4834095782
78	0.482519941
79	0.4817280073
80	0.480871027
81	0.4799141118
82	0.479012264
83	0.4780561312
84	0.4769002149
85	0.4759563297
86	0.4746112498
87	0.4737029712
88	0.4729160478
89	0.4720536236
90	0.4712487611
91	0.4703667474
92	0.4695715466
93	0.4683222127
94	0.4673648011
95	0.4664236087
96	0.4654231859
97	0.4644174781
98	0.4634336026
99	0.4628162543
100	0.4619816627
101	0.46123583
102	0.4605331359
103	0.4596585079
104	0.4588938892
105	0.4580331351
106	0.457317704
107	0.4565405463
108	0.4556947784
109	0.4548412576
110	0.4540852359
111	0.4531279068
112	0.4521946019
113	0.4515008173
114	0.4507056072
115	0.4500696838
116	0.4493567779
117	0.4488229653
118	0.447888843
119	0.4472373653
120	0.4466021784
121	0.4458413877
122	0.4450897997
123	0.4441920369
124	0.4433562435
125	0.4425644683
126	0.4417916623
127	0.4413703673
128	0.4404944994
129	0.4396327269
130	0.4390654857
131	0.4383038948
132	0.4376017516
133	0.4368749989
134	0.4360668672
135	0.4354606418
136	0.4348002641
137	0.4339207989
138	0.4332959841
139	0.4327006494
140	0.431963053
141	0.4312927222
142	0.4308219008
143	0.4297142687
144	0.4290423651
145	0.4279895225
146	0.4273790954
147	0.4268182116
148	0.4261571893
149	0.4254516519
150	0.4249590684
151	0.4243606378
152	0.4237651768
153	0.4232333495
154	0.4222927102
155	0.421662316
156	0.4212517833
157	0.4206373365
158	0.420002877
159	0.4192970163
160	0.4187628598
161	0.4181505014
162	0.4174865408
163	0.4169306061
164	0.4164768937
165	0.4156527308
166	0.4150471018
167	0.4145389962
168	0.4139917022
169	0.4133630703
170	0.4128341765
171	0.4121672903
172	0.4117951722
173	0.4110669079
174	0.4101018234
175	0.4096385154
176	0.409246876
177	0.4086658263
178	0.4081083691
179	0.40770582
180	0.4071266624
181	0.4063498649
182	0.4057528267
183	0.4053386485
184	0.4049283917
185	0.4044195359
186	0.4038528469
187	0.4034482562
188	0.4028197684
189	0.4020053402
190	0.4014761364
191	0.4009486605
192	0.400322039
193	0.3997360951
194	0.3993451693
195	0.3989352618
196	0.3985218963
197	0.3979539783
198	0.3973801931
199	0.3968303411
200	0.3963570211
201	0.3957729812
202	0.3949900362
203	0.3945184195
204	0.3939661997
205	0.3934774017
206	0.3930594353
207	0.3925090508
208	0.3921886543
209	0.39166393
210	0.3911840975
211	0.3908180307
212	0.3904633484
213	0.3898936664
214	0.3896133303
215	0.3892250486
216	0.388617328
217	0.3880341026
218	0.387601918
219	0.3872025936
220	0.3868260765
221	0.3863349421
222	0.3857726419
223	0.3851724347
224	0.3847202621
225	0.3841677014
226	0.3838049198
227	0.3833440993
228	0.382946826
229	0.3826253419
230	0.3823000838
231	0.3819476723
232	0.381600663
233	0.3812879072
234	0.3809071308
235	0.3804290591
236	0.379735083
237	0.3795218694
238	0.3792535512
239	0.3789462368
240	0.3784189603
241	0.3781062818
242	0.3778021207
243	0.377479732
244	0.376865885
245	0.3766131082
246	0.3762641503
247	0.3758724713
248	0.375511614
249	0.3749637494
250	0.3746087622
251	0.3742468405
252	0.373800972
253	0.3733347316
254	0.3730218543
255	0.3726631877
256	0.3722448717
257	0.3716754984
258	0.3713511522
259	0.371011109
260	0.3707612089
261	0.3703540123
262	0.3700192956
263	0.3696678629
264	0.3694214285
265	0.3691409418
266	0.3686053784
267	0.3681885226
268	0.3678656767
269	0.3673510081
270	0.3668909837
271	0.3664644775
272	0.366166464
273	0.3658459441
274	0.3653707119
275	0.3649504169
276	0.3645978429
277	0.3641814931
278	0.3639802002
279	0.3636986734
280	0.3632786622
281	0.3628440603
282	0.3622759528
283	0.3617792208
284	0.361500692
285	0.3610983166
286	0.3607837825
287	0.3604603302
288	0.3600474472
289	0.3597239458
290	0.3593370096
291	0.358942887
292	0.3585168512
293	0.3583412831
294	0.3579587569
295	0.3575268429
296	0.3571105624
297	0.3566342575
298	0.3563497111
299	0.3559503163
